title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
Carnival of Madness: A Call of Cthulhu Scenario for the 1970s,https://www.drivethrurpg.com/en/product/373621/carnival-of-madness-a-call-of-cthulhu-scenario-for-the-1970s,92.0,10/10/21,Call of Cthulhu,"Apr 1, 2023",36.9,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,2,3
Carnival of Madness: A Call of Cthulhu Scenario for the 1970s,https://www.drivethrurpg.com/en/product/373621/carnival-of-madness-a-call-of-cthulhu-scenario-for-the-1970s,92.0,10/10/21,Call of Cthulhu,"Apr 1, 2023",41.9,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",0,2,3
The Book of Random Tables: Eldritch,https://www.drivethrurpg.com/en/product/435499/the-book-of-random-tables-eldritch,52.0,4/27/23,"Call of Cthulhu,  Any system / system-agnostic, d100 / d100 Lite","Apr 27, 2023",4.99,0,0,0,1,0,Watermarked PDF,0,1,0
The Book of Random Tables: Eldritch,https://www.drivethrurpg.com/en/product/435499/the-book-of-random-tables-eldritch,52.0,4/27/23,"Call of Cthulhu,  Any system / system-agnostic, d100 / d100 Lite","Apr 27, 2023",9.99,1,0,0,0,0,"Softcover, B&W Book (8.5"" x 11"")",0,1,0
The Book of Random Tables: Eldritch,https://www.drivethrurpg.com/en/product/435499/the-book-of-random-tables-eldritch,52.0,4/27/23,"Call of Cthulhu,  Any system / system-agnostic, d100 / d100 Lite","Apr 27, 2023",13.98,1,0,0,1,0,"PDF + Softcover, B&W Book (8.5"" x 11"")",0,1,0
Rangers in Campaign 6,https://www.drivethrurpg.com/en/product/479847/rangers-in-campaign-6,56.0,5/4/24,"d100, BRP (Basic Roleplaying)","May 4, 2024",4.29,0,0,0,1,0,PDF,0,1,1
[Spanish] El último sacrificio,https://www.drivethrurpg.com/en/product/475948/spanish-el-ultimo-sacrificio,80.0,3/30/24,Call of Cthulhu,"Apr 2, 2024",5.27,0,0,0,1,0,PDF,0,1,1
At the Gates of Carcosa,https://www.drivethrurpg.com/en/product/460276/at-the-gates-of-carcosa,19.0,11/13/23,Call of Cthulhu,"Dec 5, 2023",3.0,0,0,0,1,0,PDF,0,1,1
Cults of RuneQuest - The Prosopaedia,https://www.drivethrurpg.com/en/product/441508/cults-of-runequest-the-prosopaedia,148.0,7/13/23,BRP (Basic Roleplaying),"Jul 13, 2023",18.99,0,0,0,1,0,PDF,1,4,1
Fear's Sharp Little Needles - 26 Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/245289/fear-s-sharp-little-needles-26-modern-day-call-of-cthulhu-scenarios,200.0,6/24/18,Call of Cthulhu,"Jul 13, 2018",19.95,0,0,0,1,0,Watermarked PDF,0,18,5
Fear's Sharp Little Needles - 26 Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/245289/fear-s-sharp-little-needles-26-modern-day-call-of-cthulhu-scenarios,200.0,6/24/18,Call of Cthulhu,"Jul 13, 2018",59.95,0,1,1,0,1,"Hardcover, Premium Color Book (8.5"" x 11"")",0,18,5
Fear's Sharp Little Needles - 26 Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/245289/fear-s-sharp-little-needles-26-modern-day-call-of-cthulhu-scenarios,200.0,6/24/18,Call of Cthulhu,"Jul 13, 2018",79.9,0,1,1,1,1,"PDF + Hardcover, Premium Color Book (8.5"" x 11"")",0,18,5
Bayt al Azif #5: A magazine for Cthulhu Mythos roleplaying games,https://www.drivethrurpg.com/en/product/432915/bayt-al-azif-5-a-magazine-for-cthulhu-mythos-roleplaying-games,120.0,5/3/23,"Call of Cthulhu, Mork Borg","May 1, 2023",10.0,0,0,0,1,0,PDF,0,17,13
Bayt al Azif #5: A magazine for Cthulhu Mythos roleplaying games,https://www.drivethrurpg.com/en/product/432915/bayt-al-azif-5-a-magazine-for-cthulhu-mythos-roleplaying-games,120.0,5/3/23,"Call of Cthulhu, Mork Borg","May 1, 2023",19.0,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,17,13
Bayt al Azif #5: A magazine for Cthulhu Mythos roleplaying games,https://www.drivethrurpg.com/en/product/432915/bayt-al-azif-5-a-magazine-for-cthulhu-mythos-roleplaying-games,120.0,5/3/23,"Call of Cthulhu, Mork Borg","May 1, 2023",25.0,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,17,13
Bayt al Azif #5: A magazine for Cthulhu Mythos roleplaying games,https://www.drivethrurpg.com/en/product/432915/bayt-al-azif-5-a-magazine-for-cthulhu-mythos-roleplaying-games,120.0,5/3/23,"Call of Cthulhu, Mork Borg","May 1, 2023",29.0,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,17,13
Bayt al Azif #5: A magazine for Cthulhu Mythos roleplaying games,https://www.drivethrurpg.com/en/product/432915/bayt-al-azif-5-a-magazine-for-cthulhu-mythos-roleplaying-games,120.0,5/3/23,"Call of Cthulhu, Mork Borg","May 1, 2023",35.0,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,17,13
The Art of Hygge,https://www.drivethrurpg.com/en/product/447791/the-art-of-hygge,25.0,7/31/23,Call of Cthulhu,"Jan 5, 2024",3.99,0,0,0,1,0,PDF,0,1,5
[Korean] 구사록 946 :: The Cat's Story,https://www.drivethrurpg.com/en/product/393453/korean-946-the-cat-s-story,247.0,4/13/22,Call of Cthulhu,"Apr 13, 2022",15.0,0,0,0,1,0,PDF,0,1,0
[Korean] 팬텀 블루 미스트!,https://www.drivethrurpg.com/en/product/328164/korean,146.0,9/12/20,Call of Cthulhu,"Sep 12, 2020",20.0,0,0,0,0,0,ZIP File,0,1,0
Good Vibes Only,https://www.drivethrurpg.com/en/product/405589/good-vibes-only,44.0,8/5/22,Call of Cthulhu,"Dec 19, 2022",5.99,0,0,0,1,0,PDF,0,2,1
Good Vibes Only,https://www.drivethrurpg.com/en/product/405589/good-vibes-only,44.0,8/5/22,Call of Cthulhu,"Dec 19, 2022",9.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,2,1
Good Vibes Only,https://www.drivethrurpg.com/en/product/405589/good-vibes-only,44.0,8/5/22,Call of Cthulhu,"Dec 19, 2022",15.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,2,1
Dead Light and Other Dark Turns,https://www.drivethrurpg.com/en/product/297068/dead-light-and-other-dark-turns,88.0,12/9/19,Call of Cthulhu,"Sep 23, 2020",6.99,0,0,0,1,0,PDF,0,4,8
Los Hobos and the Wolves of Carcosa,https://www.drivethrurpg.com/en/product/475313/los-hobos-and-the-wolves-of-carcosa,66.0,3/24/24,Call of Cthulhu,"Mar 24, 2024",6.95,0,0,0,1,0,PDF,0,1,1
Bad Tidings,https://www.drivethrurpg.com/en/product/435737/bad-tidings,30.0,4/29/23,Call of Cthulhu,"Nov 28, 2023",4.95,0,0,0,1,0,PDF,0,1,1
Bad Tidings,https://www.drivethrurpg.com/en/product/435737/bad-tidings,30.0,4/29/23,Call of Cthulhu,"Nov 28, 2023",9.91,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Bad Tidings,https://www.drivethrurpg.com/en/product/435737/bad-tidings,30.0,4/29/23,Call of Cthulhu,"Nov 28, 2023",14.86,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Cursed,https://www.drivethrurpg.com/en/product/404425/cursed,40.0,7/27/22,Call of Cthulhu,"Jul 27, 2022",2.99,0,0,0,1,0,PDF,0,1,0
Cursed,https://www.drivethrurpg.com/en/product/404425/cursed,40.0,7/27/22,Call of Cthulhu,"Jul 27, 2022",7.0,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,0
Cursed,https://www.drivethrurpg.com/en/product/404425/cursed,40.0,7/27/22,Call of Cthulhu,"Jul 27, 2022",9.99,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,0
Flesh Wounds,https://www.drivethrurpg.com/en/product/415946/flesh-wounds,64.0,11/7/22,Call of Cthulhu,"Nov 13, 2022",4.99,0,0,0,1,0,PDF,0,1,3
Flesh Wounds,https://www.drivethrurpg.com/en/product/415946/flesh-wounds,64.0,11/7/22,Call of Cthulhu,"Nov 13, 2022",14.99,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,3
Flesh Wounds,https://www.drivethrurpg.com/en/product/415946/flesh-wounds,64.0,11/7/22,Call of Cthulhu,"Nov 13, 2022",19.98,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,3
The Dragon of Wantley,https://www.drivethrurpg.com/en/product/390113/the-dragon-of-wantley,56.0,3/13/22,Call of Cthulhu,"Feb 11, 2024",5.0,0,0,0,1,0,PDF,0,1,3
The Dragon of Wantley,https://www.drivethrurpg.com/en/product/390113/the-dragon-of-wantley,56.0,3/13/22,Call of Cthulhu,"Feb 11, 2024",10.0,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
The Dragon of Wantley,https://www.drivethrurpg.com/en/product/390113/the-dragon-of-wantley,56.0,3/13/22,Call of Cthulhu,"Feb 11, 2024",15.0,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
Cultist Armoury: Handout's for The Haunting,https://www.drivethrurpg.com/en/product/384469/cultist-armoury-handout-s-for-the-haunting,36.0,1/24/22,Call of Cthulhu,"Apr 15, 2024",4.99,0,0,0,1,0,PDF,0,1,0
[Chinese]相约九八,https://www.drivethrurpg.com/en/product/468441/chinese,123.0,1/24/24,Call of Cthulhu,"Feb 10, 2024",9.0,0,0,0,1,0,PDF,0,1,0
Overdue,https://www.drivethrurpg.com/en/product/400848/overdue,18.0,6/26/22,Call of Cthulhu,"Dec 20, 2022",2.99,0,0,0,1,0,PDF,0,1,1
Overdue,https://www.drivethrurpg.com/en/product/400848/overdue,18.0,6/26/22,Call of Cthulhu,"Dec 20, 2022",8.99,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Overdue,https://www.drivethrurpg.com/en/product/400848/overdue,18.0,6/26/22,Call of Cthulhu,"Dec 20, 2022",11.98,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
RuneQuest - Roleplaying in Glorantha,https://www.drivethrurpg.com/en/product/243427/runequest-roleplaying-in-glorantha,445.0,5/31/18,"RuneQuest, BRP (Basic Roleplaying)","May 3, 2023",27.95,0,0,0,1,0,PDF,1,15,18
